id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,1,625,2019-09-09,4.94,1,184
20847,East Nashville Retro Ranch!,79021,Kristina,,District 7,36.1964,-86.70427,Private room,41,60,138,2018-10-23,1.19,3,0
25341,East Nashville Retro Ranch BR #2,79021,Kristina,,District 7,36.19705,-86.70494,Private room,65,60,107,2019-03-26,0.95,3,0
25342,East Nashville Retro Ranch BR #3,79021,Kristina,,District 7,36.19712,-86.70445,Private room,70,30,5,2016-09-25,0.04,3,0
25613,Room in Historic East Nashville Craftsman Home,95811,Nell,,District 6,36.17826,-86.74162,Private room,93,2,491,2019-09-02,4.29,1,308
37306,Private Room for Women and Couples in a Historic Craftsman,161033,Carly,,District 17,36.13311,-86.77477,Private room,125,2,113,2019-09-03,1.02,1,68
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,55,1,215,2019-09-17,5.86,2,216
65448,"Nashville Loft - Downtown, Walk to Honky-Tonks!",319913,Reservations,,District 19,36.16539,-86.77589,Entire home/apt,272,2,34,2019-04-11,0.36,42,304
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard Carson,,District 18,36.1306,-86.80045,Entire home/apt,90,2,574,2019-09-20,5.69,1,289
125579,"Uberhip 12th South, Walk Everywhere",624167,Mary Elizabeth,,District 17,36.13054,-86.78762,Entire home/apt,125,1,202,2019-09-05,2.01,1,55
136015,Apart. on the Ridge near Opryland,666322,Dave And Peggy,,District 15,36.19464,-86.67195,Entire home/apt,96,30,50,2018-02-10,0.50,4,295
258817,"ButterflyRoom,Morningstar, monthly-open Nov2019",22296,Diana,,District 12,36.16249,-86.58988,Private room,31,30,95,2017-08-21,1.00,8,317
280842,3 Bedroom House on the Greenway,666322,Dave And Peggy,,District 15,36.19409,-86.6732,Entire home/apt,135,3,176,2019-08-21,1.93,4,266
289242,"MorningstarHouse, NiceRoom-monthly-open July2019",22296,Diana,,District 12,36.16102,-86.59207,Private room,29,30,76,2019-01-12,0.81,8,324
319705,"SuperSweetSTUDIO, jacuzzi, monthly-open-Sept2019",22296,Diana,,District 12,36.16296,-86.59187,Private room,35,30,47,2019-03-26,0.51,8,334
329997,A+ Cottage with courtyard! Private! 5 mins to DT,1684051,Rick,,District 19,36.17641,-86.79846,Entire home/apt,55,2,863,2019-09-10,9.35,6,287
340081,"MorningstarHouse, colorful, monthly- openAug2019",22296,Diana,,District 12,36.16128,-86.58986,Private room,29,30,76,2018-05-23,0.82,8,315
366339,Artist Home and Treehouse East Nash,1511167,Sloane And Emily,,District 8,36.22792,-86.73884,Entire home/apt,250,2,69,2019-07-19,0.76,1,0
371066,Historic East Nashville,1869331,Ron,,District 6,36.18462,-86.73795,Private room,89,2,339,2019-09-16,5.05,1,313
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,95,1,211,2019-08-24,2.38,1,269
421290,Private Red Suite/King Bed/Wetbar/Bath/5 min to DT,1684051,Rick,,District 19,36.17277,-86.79331,Entire home/apt,55,2,690,2019-09-11,7.78,6,27
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.17323,-86.79177,Entire home/apt,55,2,690,2019-09-11,7.79,6,28
431258,"2Bdrms/2,5 baths, 5 mins to Downtown! Sleeps 4!",1684051,Rick,,District 19,36.17663,-86.80003,Entire home/apt,150,2,410,2019-09-02,4.60,6,262
475134,Nashville on the Range,1643782,Katy,,District 17,36.11693,-86.78937,Entire home/apt,137,3,116,2019-09-16,1.32,1,335
479100,Best location in Nashville WEST END,2373011,J.,,District 24,36.13218,-86.83499,Private room,79,2,59,2019-09-15,0.88,6,355
491172,French Flair #1 : The Paris room,2427763,Dody &Rodney,,District 5,36.18756,-86.74721,Private room,84,1,334,2019-09-15,3.75,4,345
