id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10291,Spacious Cottage in Mid-City!,31004,Jill,,Navarre,29.98666,-90.10928,Entire home/apt,300,2,104,2019-05-19,1.04,1,339
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.96257,-90.11877,Entire home/apt,100,1,445,2019-05-29,4.00,1,343
26834,Maison Mandeville in the Marigny,114452,Rachel,,Marigny,29.96557,-90.05531,Entire home/apt,120,3,234,2019-05-21,2.16,1,40
53173,$85 SUMMER DEAL > HUNDREDS OF 5 STAR REVIEWS !,12154,Karen,,St. Claude,29.96483,-90.03906,Private room,115,2,140,2019-05-22,1.35,1,357
53544,Historical Mother in Law Cottage in Lush Garden,249527,Lee,,Bywater,29.96697,-90.03068,Entire home/apt,65,5,188,2019-05-15,1.79,2,71
66972,The Retreat in Lovely Bayou St John,329415,Geoff,,Bayou St. John,29.9759,-90.08144,Entire home/apt,123,2,199,2019-05-06,1.94,2,357
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,St. Claude,29.96612,-90.03668,Entire home/apt,130,3,212,2019-05-27,2.10,1,361
74498,Maison Marais 1: Large Local Living,391462,Georgia,,St. Roch,29.97053,-90.05332,Entire home/apt,105,3,455,2019-05-27,4.55,3,282
76674,Luxury & history in the Big Easy #1,409545,Matt McShee,,Bywater,29.9619,-90.03589,Private room,99,3,176,2019-05-27,2.29,2,242
79536,FeelAtHomeInNO PrivateApt,428362,Miriam,,Seventh Ward,29.97872,-90.07405,Entire home/apt,91,3,445,2019-06-02,4.52,1,46
79542,Beautiful Room Uptown Home - License 17STR-10083,428397,James,,Marlyville - Fontainbleau,29.94481,-90.11201,Private room,80,3,32,2019-04-29,0.36,1,328
79609,Moon Over Mazant Bywater's First and Best!,428909,Stephen,,St. Claude,29.96545,-90.03703,Entire home/apt,102,3,308,2019-05-31,3.08,1,224
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96772,-90.06019,Private room,75,1,628,2019-05-20,6.29,3,181
82048,Efficiency in New Orleans,445833,Sanford,,Bayou St. John,29.97646,-90.08839,Entire home/apt,155,5,2,2012-05-08,0.02,2,365
82922,NOLA Family Suite,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.92163,-90.02801,Entire home/apt,125,4,38,2019-05-07,0.56,2,153
82930,NOLA Chateau,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.92167,-90.02711,Entire home/apt,85,3,54,2019-04-29,0.90,2,154
83877,NOLA'S STUDIO central to everything,2935610,David And Virginia,,Treme - Lafitte,29.9672,-90.06742,Entire home/apt,100,1,591,2019-05-20,5.97,4,113
84725,Historic UPTOWN NEW ORLEANS Resort,85132,Sanford,,Central City,29.93514,-90.08134,Private room,245,2,5,2016-01-01,0.06,7,365
89173,Marginy BnoB by Frenchman!,486093,Virginia,,Marigny,29.96415,-90.05991,Entire home/apt,130,3,350,2019-05-21,3.59,3,177
